DistanceKm,DurationMin,Weight,Volume,CarType,FinalPrice
94,159,7263,4,Furniture van,8567
142,201,9548,25,Refrigerator,15180
87,173,3007,5,Medium van,5528
124,268,24,25,Small van,4399
147,216,1350,39,Dump truck,14081
190,236,9947,58,Isothermal van,13798
116,153,8265,31,Isothermal van,10724
73,111,42,20,Refrigerator,5581
99,147,1946,43,Small van,4448
53,109,9779,38,Tented truck,10389
27,52,7606,56,Dump truck,9780
192,340,8825,41,Medium van,11002
33,53,9147,40,Furniture van,7178
62,89,8125,16,Small van,7209
5,9,1895,43,Refrigerator,4236
11,14,8727,5,Dump truck,7426
91,188,5380,1,Small van,5786
89,182,8213,45,Tented truck,12425
51,72,2817,24,Isothermal van,5329
179,344,5493,39,Tented truck,15495
143,285,8524,52,Refrigerator,16786
17,35,5077,14,Furniture van,4712
13,24,2118,28,Refrigerator,3558
183,329,1256,28,Dump truck,16412
74,156,295,9,Refrigerator,5018
189,227,3667,50,Medium van,9308
145,311,6212,3,Furniture van,9295
115,159,895,30,Tented truck,9857
102,219,7610,56,Dump truck,14352
54,112,9523,51,Refrigerator,10314
64,79,2640,45,Medium van,5263
80,159,9512,13,Tented truck,13549
133,214,2150,28,Small van,4652
64,77,4461,42,Medium van,6747
127,170,5273,19,Dump truck,15215
135,293,9528,42,Dump truck,15221
74,125,3609,45,Isothermal van,7410
197,278,1544,57,Isothermal van,10033
98,119,2881,55,Tented truck,9745
103,191,4663,4,Refrigerator,9465
149,317,8356,28,Dump truck,17886
68,115,8557,30,Isothermal van,10347
16,33,4851,31,Furniture van,4243
67,123,7480,29,Refrigerator,10347
179,245,6059,57,Isothermal van,12769
152,201,9855,34,Isothermal van,12491
94,202,5671,42,Dump truck,13830
190,244,6778,35,Furniture van,11096
7,9,1968,25,Small van,2573
21,35,7393,20,Isothermal van,6800
182,251,6842,22,Refrigerator,14784
48,70,7484,29,Isothermal van,6664
9,14,3847,3,Furniture van,3102
32,41,7186,48,Medium van,7066
187,371,3973,3,Isothermal van,9844
41,55,8116,21,Medium van,7385
133,221,8465,39,Dump truck,18659
158,263,5136,37,Medium van,9473
56,75,2429,47,Isothermal van,5496
71,115,3079,1,Tented truck,7682
190,238,189,32,Small van,5700
130,222,3613,44,Refrigerator,10755
56,117,4433,30,Refrigerator,7374
45,93,6415,49,Tented truck,9939
184,397,2300,29,Dump truck,18106
143,209,8149,21,Dump truck,15354
91,165,3794,48,Small van,6278
198,420,5260,36,Furniture van,10637
169,308,1814,14,Medium van,6043
181,380,8280,53,Tented truck,18968
146,288,3467,39,Tented truck,13945
20,28,9265,37,Refrigerator,9284
28,37,4145,24,Small van,3800
165,261,2091,34,Refrigerator,11136
166,346,1109,12,Isothermal van,8153
67,104,7472,26,Small van,6600
17,32,2087,14,Small van,2277
93,170,8493,51,Medium van,10081
198,323,1389,16,Isothermal van,10811
107,140,9331,10,Furniture van,8401
88,121,3664,54,Medium van,7425
113,188,4361,36,Medium van,7173
132,252,8778,52,Medium van,11497
189,281,2847,22,Small van,6263
117,190,1491,12,Small van,4146
47,82,8255,49,Small van,6439
53,92,2494,7,Refrigerator,5172
52,112,6402,49,Small van,7240
73,87,795,7,Tented truck,6660
99,208,6539,22,Isothermal van,9901
59,89,4533,23,Refrigerator,7826
116,148,1080,16,Furniture van,6198
157,191,4057,60,Refrigerator,13014
20,38,8757,50,Furniture van,6631
76,134,4838,31,Small van,5165
82,103,99,48,Refrigerator,6908
27,40,9768,9,Tented truck,7927
197,374,2949,5,Small van,7177
43,77,5739,16,Medium van,4941
154,290,4002,54,Furniture van,10146
56,68,362,29,Tented truck,5416
140,282,9104,47,Refrigerator,13109
98,170,1390,11,Refrigerator,7330
61,106,7058,15,Isothermal van,7364
101,160,569,48,Small van,4616
157,205,4196,54,Isothermal van,12119
143,191,4945,44,Dump truck,14978
183,277,6251,55,Dump truck,19734
65,133,8058,39,Dump truck,13167
44,53,4352,33,Dump truck,7525
52,81,5333,5,Small van,4149
55,112,5939,38,Isothermal van,6677
111,150,4806,29,Medium van,7998
81,164,4262,1,Furniture van,6213
153,214,2852,25,Medium van,6490
93,124,1852,45,Isothermal van,6032
35,61,1732,10,Medium van,2732
29,55,8831,58,Tented truck,9246
173,304,5448,9,Isothermal van,11803
51,74,9571,15,Furniture van,8761
74,152,8968,23,Small van,7379
127,273,6215,32,Refrigerator,11408
92,168,3749,1,Tented truck,8936
157,260,9781,55,Refrigerator,15461
191,284,8689,60,Isothermal van,14266
145,269,8815,16,Dump truck,17117
98,177,1937,40,Medium van,5614
106,139,4811,21,Refrigerator,10319
163,238,8060,33,Medium van,10447
152,273,5985,37,Medium van,10362
67,124,3814,3,Medium van,4486
87,153,9712,19,Furniture van,9062
140,256,1460,28,Refrigerator,10310
73,103,9582,14,Furniture van,9483
143,236,1368,11,Small van,5216
141,207,454,24,Isothermal van,7320
188,391,7445,48,Tented truck,19376
101,135,4583,17,Refrigerator,8120
153,257,4425,32,Dump truck,16306
155,215,7100,2,Furniture van,9464
92,183,195,8,Tented truck,7811
83,137,747,9,Refrigerator,5799
151,197,3274,15,Furniture van,7324
65,123,9204,58,Medium van,10378
119,197,2769,46,Dump truck,13288
98,168,8274,54,Isothermal van,11734
80,110,6879,26,Isothermal van,9729
192,376,7463,40,Small van,8756
21,30,1772,11,Dump truck,4269
55,111,1608,18,Isothermal van,4846
61,100,1946,51,Furniture van,5191
124,187,8754,52,Refrigerator,15610
191,273,2625,51,Tented truck,13958
51,68,2957,57,Tented truck,7782
127,171,2656,48,Furniture van,8379
113,202,3766,37,Tented truck,11787
130,284,3604,50,Furniture van,8657
115,223,6390,51,Tented truck,12655
144,232,7361,37,Isothermal van,13007
159,257,4191,15,Small van,6841
168,348,9690,21,Refrigerator,17272
117,193,2181,59,Dump truck,13753
22,29,991,15,Isothermal van,3075
29,47,5314,40,Refrigerator,6423
87,125,6024,6,Tented truck,10195
24,38,6812,50,Refrigerator,6854
35,62,2535,50,Furniture van,4356
159,316,1148,15,Small van,4530
59,98,3219,42,Refrigerator,7902
3,5,5425,44,Tented truck,6435
22,39,3032,22,Medium van,3115
124,256,4057,5,Refrigerator,9905
39,71,5351,10,Small van,4520
194,237,4380,4,Medium van,9496
47,92,6779,25,Medium van,6182
50,73,4305,42,Refrigerator,8005
29,47,860,41,Isothermal van,3903
